NumericEncoded,HolidaysName
23,Gawai Dayak
24,Gawai Dayak Holiday
47,No holidays
60,The Yang di-Pertuan Agong's Birthday
21,First Day of Ramadan
36,June Solstice
48,Nuzul Al-Quran
29,Hari Raya Puasa
31,"Hari Raya Puasa Day 2, George Town World Heritage City Day"
52,Penang Governor's Birthday
54,Sarawak Independence Day
35,Janmashtami
41,Malaysia's National Day
22,Ganesh Chaturthi
27,Hari Raya Haji
28,"Hari Raya Haji (Day 2), Hari Raya Haji holiday"
57,September Equinox
43,"Navaratri, Muharram/New Year"
4,Birthday of the Governor of Sarawak
18,Dussehra
3,Birthday of the Governor of Malacca
9,Birthday of the Sultan of Pahang
17,Diwali/Deepavali
10,Birthday of the Sultan of Perak
0,Almarhum Sultan Iskandar Hol Day
7,Birthday of the Sultan of Kelantan
8,Birthday of the Sultan of Kelantan (Day 2)
11,Birthday of the Sultan of Selangor
59,"The Prophet Muhammad's Birthday, Day off for Birthday of the Sultan of Selangor"
15,December Solstice
14,Christmas Eve
13,Christmas Day
46,New Year's Eve
44,New Year's Day
45,New Year's Day observed
2,Birthday of Yang di-Pertuan Besar
39,Lunar New Year's Day
56,"Second Day of Lunar New Year, Lunar New Year Holiday"
38,Lunar New Year Holiday
20,Federal Territory Day
58,Thaipusam
61,Valentine's Day
40,Maha Shivaratri
1,Anniversary of the Coronation of the Sultan of Terengganu
33,Holi
42,March Equinox
6,Birthday of the Sultan of Johor
26,Good Friday
16,Declaration of Malacca as Historical City
19,Easter Sunday
34,Isra and Mi'raj
49,Official Installation Ceremony of His Majesty the 15th Yang Di Pertuan Agong
12,Birthday of the Sultan of Terengganu
37,Labour Day
50,Pahang State Holiday
51,Pahang State Holiday observed
62,Wesak Day
5,Birthday of the Raja of Perlis
32,Harvest Festival
55,Second Day of Harvest Festival
30,Hari Raya Puasa Day 2
25,George Town World Heritage City Day
53,Raksha Bandhan
