,Availability,Date,Time,IsWeekend,IsPeakHour,Holidays,Datetime,ISO8601,temperature,rain
0,1642,2016-06-01,10:12:37,False,False,Gawai Dayak,2016-06-01 10:00:00,2016-06-01T10:00,27.3,0.0
1,1609,2016-06-01,10:15:05,False,False,Gawai Dayak,2016-06-01 10:00:00,2016-06-01T10:00,27.3,0.0
2,1458,2016-06-01,10:30:05,False,False,Gawai Dayak,2016-06-01 10:00:00,2016-06-01T10:00,27.3,0.0
3,1357,2016-06-01,10:45:04,False,False,Gawai Dayak,2016-06-01 10:00:00,2016-06-01T10:00,27.3,0.0
4,1235,2016-06-01,11:00:06,False,False,Gawai Dayak,2016-06-01 11:00:00,2016-06-01T11:00,27.8,0.0
5,1076,2016-06-01,11:15:04,False,False,Gawai Dayak,2016-06-01 11:00:00,2016-06-01T11:00,27.8,0.0
6,0944,2016-06-01,11:30:05,False,False,Gawai Dayak,2016-06-01 11:00:00,2016-06-01T11:00,27.8,0.0
7,0791,2016-06-01,11:45:04,False,False,Gawai Dayak,2016-06-01 11:00:00,2016-06-01T11:00,27.8,0.0
8,0637,2016-06-01,12:00:05,False,True,Gawai Dayak,2016-06-01 12:00:00,2016-06-01T12:00,28.3,0.0
9,0529,2016-06-01,12:15:05,False,True,Gawai Dayak,2016-06-01 12:00:00,2016-06-01T12:00,28.3,0.0
10,0437,2016-06-01,12:30:05,False,True,Gawai Dayak,2016-06-01 12:00:00,2016-06-01T12:00,28.3,0.0
11,0355,2016-06-01,12:45:05,False,True,Gawai Dayak,2016-06-01 12:00:00,2016-06-01T12:00,28.3,0.0
12,0220,2016-06-01,13:00:05,False,True,Gawai Dayak,2016-06-01 13:00:00,2016-06-01T13:00,28.8,0.0
13,0133,2016-06-01,13:15:05,False,True,Gawai Dayak,2016-06-01 13:00:00,2016-06-01T13:00,28.8,0.0
14,0026,2016-06-01,13:30:04,False,True,Gawai Dayak,2016-06-01 13:00:00,2016-06-01T13:00,28.8,0.0
15,FULL,2016-06-01,13:45:04,False,True,Gawai Dayak,2016-06-01 13:00:00,2016-06-01T13:00,28.8,0.0
